No.,都道府県,自治体,親の年代,性別,子どもの数,妊娠中,未就学(保育園、幼稚園等),小学生,中学生,高校生,大学生・大学院生,就職・その他,子ども世代,意見,備考,,,,,,,,,,,,
772,埼玉県,川越市,40〜49歳,女性,2,0,0,0,1,1,0,,中学生 高校生 ,柔道着や習字セットなど、ほとんど使わない学用品を買わされる。教科書なども含め、税金も家庭のお金も無駄になっている,,,,,,,,,,,,,
773,茨城県,茨城県,30〜39歳,女性,1,0,0,1,0,0,0,,小学生 ,"　学校でいじめや嫌がらせ等の生徒間トラブルがあった時、いじめられた側が隔離され、カウンセリングを受けるのはおかしいと思います。いじめた側に最も問題があるので、いじめた生徒を隔離、カウンセリングを行う事が当たり前になる事を望みます。いじめられた生徒が社会からはじき出されることのないようにしてほしいです。
　また、年齢の近い子供が複数人いる場合と、年の離れた子供が複数人いる場合で、学費や保育料の負担額が変わるのはおかしいです。年齢の開きに関わらず、子供達は皆未来の日本を担う存在です。少子高齢化を本気で止めたいのであれば、年齢の開きに関わらず、複数の子供をより生み育てやすくする為、年齢の近い兄弟姉妹と同様に学費や保育料等の必要な費用が減免され、たくさんの子供を生み育てやすい国にして下さい。
　そして子供達の大切な教育を守り、未来の日本を守るためにも、教員不足の解消をしてください。教員の給与を労働時間や内容に見合ったものにしてください。昔ながらの詰め込み教育ではなく、これからの未来を見据えた先進的な質の高い教育ができる教員を育てて下さい。",,,,,,,,,,,,,
774,愛知県,,30〜39歳,女性,1,0,0,1,0,0,0,,小学生 ,G7に入ってる国の一つなのに他の国に比べると日本は子供に全くお金をかけないこと。,,,,,,,,,,,,,
775,愛知県,岡崎市,40〜49歳,男性,0,0,0,0,0,0,0,,,"子供に関わる補助や行政サービスに所得制限がついている点は本当におかしいと思います。子供手当だけでなく、保育園の利用料も所得に応じて大きく差がつけられ、莫大な出費を強いられています。また、物価の上昇により、食費や光熱費の支出増が家計を圧迫しており、節約も限界に近いため、子供手当があればどれだけ楽か、と思います。（所得制限がおかしい）
地域によっては、祖父母と同居や近隣に住むケースが多く、高齢者の補助（年金や扶養）の恩恵も期待できるのですが、私のように仕事の都合で縁もゆかりもない地域へ引っ越して子育てをする場合、こうした私的な補助もありません。（控除の制度が不平等）
また、高齢者には自動車購入に際して「サポカー補助金」といった補助がありますが、子供の送迎などに適した車を購入する際に、祖父母の名義で購入することもできます。こういった、高齢者への補助が孫まで及ぶことを考慮すると、チャイルドシートや子供の乗り降りしやすい車に対する補助金（子供サポカー）のようなものがあってもいいはずです。（補助金制度がおかしい）
今後、中学校に進学し制服などを購入する際にも、お下がりなどもないため、出費が嵩みます。いっそのこと、制服など無くしてしまった方が、進学するたびに高額な出費を強いられずに済むので、学校の規則なども時代にそぐわなくなってきているように思います（校則などがおかしい）",,,,,,,,,,,,,
776,神奈川県,川崎市,30〜39歳,女性,1,1,0,0,0,0,0,,妊娠中 ,児童手当を親の年収によって子どもを差別している点。児童のためではなく、親のためになっている。保育無償化は一番お金がかかる０歳から２歳を除外しており、ある一定の所得がある人しか復帰するメリットがない。仕事に復帰しても保育料を支払うと数万しか手取りが残らず、生活が苦しい。もう1人子どもを考える生活の余裕がない。労働人口を確保するためにも、０歳から無償化してほしい。,労働人口を確保したいなら、浪費だけしかせず稼ぎもしない老人ではなく未来の納税者である子どもに投資をしてください。票田ではなく、未来を見る政治家を私は支持します。,,,,,,,,,,,,
777,福岡県,福岡市,40〜49歳,女性,1,0,0,0,0,1,0,,高校生 ,年齢が上がっていくにつれてお金(教育費)がかかるということ。資金繰りが難しいと、実力・熱意があっても進学先の選択の幅が狭まること。,,,,,,,,,,,,,
778,東京都,杉並区,30〜39歳,女性,1,1,0,0,0,0,0,,妊娠中 ,年少扶養控除の復活なしに所得制限を設けていること,児童手当等の子育て支援に所得制限を設けるのであれば年少扶養控除を復活させるべき。そうでなければ所得制限年収以上の者は、子どもを持たない同年収の者に比べ、子どもを持った分増税されることになります。,,,,,,,,,,,,
779,神奈川県,川崎市,30〜39歳,女性,0,0,0,0,0,0,0,,,子供を預けたくても一時保育等に預けられず、自分の時間が中々取れない現状が辛いです。近くに実家や頼れる友人知人が居なく一人で育児をしている状況です。また、出産を気に仕事も辞め、社会との繋りを持っておらず一人で悩む時期も沢山ありました。子供を育てている人が孤立しない、社会全体で支えられるようになってほしいと思います。子供は未来です。もっと国が子供を守って育て上げられる環境を作ってほしいと願います。,,,,,,,,,,,,,
780,東京都,東京都北区,30〜39歳,女性,2,0,0,2,0,0,0,,小学生 ,"所得制限で児童手当がもらえなくなりました。税金を多く納めているにもかかわらず、もらえるものも減りました。
私は3人を産んで、それでも政府の言う「女性活躍」のために日々、すり減らしながら頑張っています。少ない自分の時間は、キャリアのために資格を取ったりもしています。
なぜ、所得制限をもうけるのでしょうか？私の周りは生みたくても、色んなものが所得制限でひっかかるので、子育てにお金がかけられなくなり、お金のせいで複数もうめないと言っています。頑張れば頑張るほど子育て罰が増えていきます。私も、もう色々貰えないので、子供の時間を削って、身を削って給料をあげるしかありません。でも、子育て中の女性は同僚の男性と比較してもなかなか上げてもらえません。
本当の少子化対策をしてください。",,,,,,,,,,,,,
781,北海道,函館市,40〜49歳,女性,1,0,0,0,0,1,0,,高校生 ,"政治面では子育ての政策が、ただやっているだけになっていて、継続して子どもの育ちに必要なことを考えるという視点がかけているように感じます。また、国の将来の大事なこととして教育にお金をかけなさすぎです。
地域社会としては、地域作りに関わる人の高齢化、子育て世帯は自分の暮らしで精一杯で地域の関わりをもつゆとりがないなど、地域社会と世代間の繋がりの希薄さが問題があります。地域の子どもにあたたかい声かけをする人が少なく、人目を気にしながらの子育てでは、子どもが多様な人の中で安心して育つ体験ができません。
子育て世帯同士でも、子育て観や家庭環境の違いにより、分断や格差が起きています。学校や園の先生にゆとりがなく、子ども達と丁寧に関わることができていないように思います。待遇改善が今以上に、そして迅速に必要です。
親になるまえに、なってからも、子どもを育てるために必要な事を学ぶ場がとても少ないです。コロナ禍で母親学級などがなくなったことが影響しているのか、赤ちゃんの抱き方もわからないまま過ごしている親子連れもしばしば見かけます。
公共の場で子どもが良くないことをしたときに、思いやりをもって声をかけ辞めさせる人はほとんどいません。怒鳴ったり、親を傷つけるようなもの言いをする人はたまにいますが。
地域で異年齢、世代間の交流を豊かにし、多様な人の繋がりを受け入れる文化的な体験を拡げることと、政治がすべての子どもや若者に必要な政策に取り組むことをして欲しいです。",,,,,,,,,,,,,
782,神奈川県,横浜市,30〜39歳,女性,0,0,0,0,0,0,0,,,"こども手当が出ることを理由に、未成年者の所得税控除がなくなったと記憶しています。
子ども手当が出ない世帯に認定されるならば、未成年者の扶養控除の適用を復活してほしいです。
また、子ども手当を保護者の収入額次第でなくなるというのは平等性を欠くと感じています。この手当は、子供に対する手当なのではないのでしょうか？
現金給付よりは、小学校・中学校の給食無償化を実現したほうが、確実に子供のために使われます。現在の幼児教育無償化の延長線上に、学校給食無償化を提案したいと思います。",,,,,,,,,,,,,
783,岐阜県,恵那市,40〜49歳,女性,0,0,0,0,0,0,0,,,"コロナ禍で子どもの守り方
マスクは長い目で見たらデメリットしかない。目の前の感染症でなく長い目で子どもの成長を見てほしい。スウェーデンを見習ってほしい。",,,,,,,,,,,,,
784,大阪府,吹田,30〜39歳,女性,0,0,0,0,0,0,0,,,保育園と幼稚園で無償化の時期が違うこと。うちは4月産まれなので、幼稚園の子より一年長く保育料を支払わないといけない。そもそも3歳から無償化の意味も分からない。子供を増やしたいなら、保育園から大学まで無償化してくれたらもっと産みます。児童手当の所得制限もいらない。生活費が上がって給料が上がらないのに、共働きだとより税金も納めていて、例えば世帯年収1000万あっても、国が思ってるより余裕は無いです。,,,,,,,,,,,,,
785,広島県,,40〜49歳,女性,1,0,0,1,0,0,0,,小学生 ,「少子化対策」という政治の方向性が実態とは ずれているような気がする。「教育費無償化」が早く実現してくれたら 子どもの将来の教育費の心配をしなくてよい。教育にかける予算を増やして欲しい。,,,,,,,,,,,,,
786,東京都,むさしのし,30〜39歳,女性,0,0,0,0,0,0,0,,,少子高齢化に対して本気度が感じられない。合計特殊出生率を何年にいくつまでするという目標数値もなく、妊娠、出産、子育てに関する予算も諸外国に比べて少ない。子育てを応援されているとも思わないし、むしろ年少控除にかわる子ども手当に所得制限がかかる。女性活躍を謳いながら働いて年収が上がれば所得制限かかるのはおかしい。子育てのモチベーションが上がらないし、第二子を躊躇している。,,,,,,,,,,,,,
787,神奈川県,藤沢市,50〜59歳,男性,3,0,0,0,2,1,0,,中学生 高校生 ,累進課税があるのに、子育て、障害児支援に所得制限があってサービスを受けられないのはおかしいし、納得がいかないです。,,,,,,,,,,,,,
788,茨城県,,50〜59歳,その他,1,0,0,0,0,1,0,,高校生 ,"人の命を預かっている割には低収入の保育士、幼稚園教諭の給与を上げてください。
子供と関わる職業の待遇を改善し、子供やその親と深く関われるような余裕や知識が必要だと思います。

私は住民票のあった場所がワンルームで、家庭訪問に来た50代後半女性の小学校教員から差別的な発言をされた事があります。少なくとも子供と関わる職業の方がこのような言動をしないように教育すべきだと思います。",,,,,,,,,,,,,
789,京都府,京都市,30〜39歳,女性,2,0,0,2,0,0,0,,小学生 ,"４人目の子どもを考えているが、所得制限により、子ども手当を始め、様々な経済的な支援が得られないため1人増えるごとにかかる負担が大きく、躊躇している。
経済状況関係なく、生活保護であろうが高収入だろうが、それぞれが学びたいところで学べるような、各々借金させるのではなく、給付型、学費の減額などのシステムを作ってほしい。
それと同時に、高校生、大学生に、農業工業様々な産業でのインターンシップを導入し、どんな経験をしてきたのかを大学受験や就職試験で問うような教育をしてほしい。",,,,,,,,,,,,,
790,東京都,,40〜49歳,女性,2,0,0,2,0,0,0,,小学生 ,所得制限。２人の発達障害児を育てています。児童手当が減るだけでなく、放課後等デイサービスの自己負担額や特別支援教育就学奨励費も制限があります。学区内に特別支援学級が設置されていないため遠方への送迎の負担も重いです（さらに送迎の交通費は自己負担。放課後デイも2人分となると高額で利用できません）。経済的にも精神的にも余裕はありませんが、障害児を抱えて長時間は働けません。せめて、経済的な負担軽減だけでもお願いしたいです。高額な税金は納めているのに…。,,,,,,,,,,,,,
791,愛知県,,30〜39歳,女性,0,0,0,0,0,0,0,,,"さまざまな子育て支援に所得制限がかかっていること。しかも世帯合算ではなく、世帯主の収入で。累進課税ですでに税金はたくさん納めているのに、なぜさらに制限を受けなければいけないのか？
フルで子育て支援を受けられる家庭と比べて、可処分所得が逆転してしまう様な支援はおかしい。",,,,,,,,,,,,,
792,神奈川県,川崎市,30〜39歳,女性,0,0,0,0,0,0,0,,,コロナで様々なイベントが中止になり、情報が得づらい。年収が比較的高いため認可保育園に入れない。親の年収、自治体によって子育て支援に差があるのは不平等である（子供は平等なはず）,,,,,,,,,,,,,
793,山口県,下関市,30〜39歳,女性,0,0,0,0,0,0,0,,,"気軽に思い立った時に預けられる先がない。例えば、自分が体調不良で子供が元気な時、我が自治体には、当日中に調整して預かってくれる所がない。あったとしても、送迎は自分でしなければならないし、預かり可能かどうかは運。
また、原則仕事がなければ土曜保育が利用できない運用をよく聞くし、我が保育園も同様。しかし、我が家のように共働きで、土日はワンオペの場合、自分はいつ休めば良いのか？と感じる。有料の託児サービスなどの利用も検討するが、保育料が重く、追加での出費を躊躇し、無理をして体調を崩すということがあった。体調を崩して有給を使い休む事で、子供対応のための有給もギリギリになった。土曜保育を気軽に利用できるよう、保育士の人員確保と意識改革を進めて欲しい。
そして、育児支援の所得制限。今回、減額どころか0になったのを見て、我が家は所得制限家庭ではないが、頻繁に子育て支援が改悪される中で、子供が18になるまで児童手当をもらえるのか不安になった。3人目を考えていたが、やはりやめた方がいいのではないかと話し合っている最中である。
児童手当は、大学の進学資金として当て込んでいるだけに、なくなると困るが、比較的高齢での出産だったため、子供が18になる頃には給料も上がっている見込みで、世帯合算の所得制限などになると危ないと感じている。なかなか授からず高齢出産になったが、同じ仕事をしていても、若いうちに授かった世帯は問題なく児童手当を受けられるのに、高齢出産は所得制限の心配をしなければならない。高齢出産が奨励されないのは理解もできるが、この出生数で、産み手を選別するような政策のあり方はいかがなものかと思う。
ただ、そもそも児童手当がなくなると困るのは、一重に学費の高騰にある。例えば、大学生が一般的なアルバイトなどで自力で払える金額であれば、親の出産に対する心理的ハードルもかなり下がる。能力があれば誰でも大学進学ができるよう、学費にメスを入れて欲しい。
",,,,,,,,,,,,,
794,千葉県,習志野市,40〜49歳,女性,1,0,0,1,0,0,0,,小学生 ,"子供のために稼げば稼ぐほど、所得制限で可処分所得を減らされて辛いです。
私は子供が大好きなので3人目も欲しかったのですが、このままでは育てられないと諦めました。
もう歳も歳なので今すぐにでも所得制限撤廃されないと産めません。

そもそも、子ども手当は年少扶養控除との引き換えだったはずです。
これは子供の生存権の侵害です。",,,,,,,,,,,,,
795,東京都,港区,40〜49歳,女性,1,0,0,1,0,0,0,,小学生 ,年少扶養控除がなくなったにもかかわらず所児童手当に所得制限をつけてなくしたりすることは、憲法違反だと思う。,,,,,,,,,,,,,
796,東京都,杉並区,50〜59歳,男性,1,0,0,1,0,0,0,,小学生 ,公的な補助が全然足りない,,,,,,,,,,,,,
797,愛知県,安城市,40〜49歳,女性,3,0,0,1,1,1,0,,小学生 中学生 高校生 ,児童手当が減る、なくなること,,,,,,,,,,,,,
798,北海道,美幌町,40〜49歳,女性,2,0,0,1,1,0,0,,小学生 中学生 ,"子供が所得税の扶養に入れないのはおかしい！
中学以上からお金がかかるのに、児童手当がなくなるなんて。
所得制限で、高校の補助を受けれないのはおかしい。
子供には平等に受ける権利があると思うのはおかしいのか。",,,,,,,,,,,,,
799,滋賀県,滋賀県栗東市,30〜39歳,女性,0,0,0,0,0,0,0,,,"２歳の発達障害を持つ子を育てています。私が子育てをしていて疑問、理不尽に感じている点を３点述べます。

まず一点目は療育に通っていますが、今の日本の現状だと将来が不安です。まず保育園は入るのが難しく、幼稚園になると思いますが加配がつくかどうかや、どういった先生がどのようなフォローをして頂けるかはギリギリにならないと分からないそうです。ただでさえ不安を抱えて生活している、大人の目がないと命の危険があるので、きちんと見ていただく必要があります。事前から保護者と連携して安心して入れる様に改善して欲しいです。

二点目は、教育現場の先生不足、質の低下についてです。十分な知識を持たず現場に立たされ子どもに対して誤った対応をし、症状をひどくさせる場合もあります。二次障害と言われる不登校に繋がるのです。
特性がある子のケアは専門知識を必要とし、大変な仕事です。先生のスキルの育成にも力を入れないといけないのです。全国的に自治体によってやり方も違っていて、必要なケアが受けられ無い人も多く存在しますが、これはもはや先進国とは言えない恥ずべき状態にあると思います。
少子化で子どもが減っているのにいつまでも先生や対応不足なのはどうしてでしょうか？


日本社会は子どもに対して人権があまりにも無いと感じます。安心安全に教育を受ける権利があるはずです。

三点目は子ども人権についてです。今の日本では子どもは大人の付属物の様な扱いを受けており、大人のせいで正しく権利を行使出来ない子も多いと思います。
虐待や性的被害、いじめや差別など、ほとんどが大人の責任であるにも関わらず犠牲になるのは子どもなのです。親が監督責任を全う出来ないようならアメリカの様に離して保護すべきです。子どもに性犯罪をした場合は極刑にして欲しいです。性犯罪を他の犯罪同様に更生できる物としている現法律に疑問を感じます。アメリカではなかなか治らないもので、然るべき対応がされています。子どもを守る気がないのが日本社会です。本当に失望しています。

",,,,,,,,,,,,,
800,東京都,品川区,30〜39歳,女性,0,0,0,0,0,0,0,,,経済的な理由で子供の数を制限しているが、高校無償化や児童手当など、親の所得で支援が制限されるのはおかしいと思う。,,,,,,,,,,,,,
801,茨城県,,30〜39歳,女性,0,0,0,0,0,0,0,,,子育てしながら、フルタイムで両親ともに働かないと生活できない事実。それでも生活しかできない収入。子供と数時間しか一緒にいることができなくしたのに、女性の社会進出と言い換え責任転嫁。保育園が足りないのに、親が面倒見ることもできない育休2年の制度。3人目まで継続で取得出来ない産休育休制度。無駄に上がり続ける学費。日本人なら返さないといけない奨学金制度。,本当にまともな政治家に、まともな対策をしてほしいと節に願っております。,,,,,,,,,,,,
802,神奈川県,葉山町,40〜49歳,女性,3,0,0,1,1,1,0,,小学生 中学生 高校生 ,"①学校現場が悲鳴をあげている。根本的に今のシステム自体の見直しが必要
②先生の指導面がひどい。子どもと生徒が対話されてない。
これは①を改善すれば良くなる
③コロナにより学校がマスクをお願いという名の強制をしているのはおかしい。マスクは本来選択自由のはずだ！
④子どもの学びは自分の行きたい学校にかようことが良い！フリースクールなども公立学校のように無料にするべき。必要ないところで沢山お金をかけて、子どもに関するところでお金をかけなくてとうする！？子どもたちは日本の未来だ！
⑤給食をオーガニックにする。牛乳もいらない。",,,,,,,,,,,,,
803,東京都,品川区,30〜39歳,女性,0,0,0,0,0,0,0,,,"・子育ての各種手当てに所得制限を設けているのに懐疑的(子育て支援ではなく、貧困層支援になっている)
・16歳未満の扶養控除がないこと。子供に扶養控除をつけて、配偶者特別控除を無くせば、専業主婦たちももっと働き出すのではないだろうか。
　稼げる年代の人は稼いでも控除を受けられるのに、働くことができない子供たちに控除がないのが全くもって納得できない
・出産一時金の引き上げを検討中とのことだが、一過性のものをもらっても何の足しにもならない。むしろ子育て世帯をばかにしているのかとすら感じる
・妊婦健診の費用が全額賄われないこと、保険も適用されず、都から配られる補助券だけではそもそもの回数が足りない
・教育費、日用品、食費、娯楽費、その他もろもろ、ファミリー世帯はお金を使うのに支援が少ない。経済を回すなら子育て世帯に支援をすれば必ず使うはずなので、いろいろと補助など検討して欲しい。出生率も上がると思います。
・経済面の不安から、もう一人産みたいと思えない。お金があれば産みたいのに、、、と心から思います。",,,,,,,,,,,,,
804,静岡県,富士宮市,30〜39歳,女性,0,0,0,0,0,0,0,,,"義務教育の質が低いこと。質の良い教師やスタッフが集まる構造になっていない。ブラック校則・ブラック部活が改善されていない。
教員や教育に関わる者の賃上げ・待遇改善をし、人数を増やし、生徒に寄り添った義務教育がなされなくてはいけない。

また、わいせつ行為を行ったり、生徒に対する態度に問題がある教師は、二度と教職に就けないようにする措置を講じるべき。",日本は、安心して公立の学校に通わせられる状態ではない。,,,,,,,,,,,,
805,東京都,品川区,40〜49歳,女性,2,0,0,2,0,0,0,,小学生 ,"小学校、幼稚園での、黙食、マスク実質的強要が、子どもたちの健全な発達に悪影響を及ぼさないか心配です。大人は楽しく会話しながら食べています、黙食はやめてください。
児童手当の所得制限にも反対です。我が家は子どもが3人いますが、たまたま残業が多く制限のボーダーにひっかかってしまい、現在の収入でもかつかつです。",子どもたちは過剰な感染症対策（黙食、マスク実質的強要、行事の制限など）にとてもつらい思いをしています。濃厚接触者追跡をやめてください。コロナを五類以下にしてください！,,,,,,,,,,,,
806,東京都,渋谷区,40〜49歳,女性,2,0,0,1,1,0,0,,小学生 中学生 ,"義務教育（厳密には無償教育と教育へのアクセス）が中学までしかない。多くの先進国は高校まで義務教育だったり、義務でなくても地域の高校に無償・書類手続きのみで通える。日本でも、18歳までの子供に、教育＆日中の居場所を提供してほしい。大多数の子供は高校に通えているが、主流からはずれた人（事例参照）があまりにも不利益をこうむっている。教育へのアクセスを保証し、希望するすべての18歳未満の子供に勉強の機会と居場所を与えてほしい。
例1）
今春アフガンからの避難家族の子供が何人も地元の小中学校に来ているが、16歳以上の子供は高校に入れず困っている（妹の小学校に付き添いながら、クラスの後ろで机をもらって日本語の勉強をしています）。15歳なら中学に入れるが16歳の子はまず日本語を勉強して試験に受からないと高校に入れない。九番団地のように日系ブラジル人など外国由来の子たちも、学費が出せない、親が受験制度をわかってないなどで進学せず15歳で放り出されている状況がある。
例2)
駐在員家庭も、高校入試や編入条件の厳しさに直面している。
https://globe.asahi.com/article/13634866
対応としては、母子だけ受験準備のために早めに帰国する、または高校卒業まで現地に残る選択が多いと思われる。都市圏では中学受験することで高校までの居場所を確保し、いつ来るか分からない海外転勤に備える人も。
例3）
最も貧しい家庭は高校の学費を出せず、中学卒業後に就職するしかない。ただ2020年高校無償化により進学率は向上したと思われる。
例4）
高校実質無償化は、完全に無償ではない。所得制限があり、学費の上限は40万円。対象校についても、インターナショナルスクールや中華学校などの外国人学校は認められる一方、長年不登校児・不適応児の受け皿となってきた民間フリースクールは対象外。
例5）
ごく普通の高校生であっても、学校を転校することは難しい。これだけ人の移動がやまない現代日本にあって、高校は生徒の移動を想定していない。転校生を受入れる学校は少なく、学校間の単位認定ルールもない。転勤族は子供が高校以上になると単身赴任。

以上、日本では中3冬時点で日本式受験をできる状況にない（学力、メンタル、日本語、親の能力）主流からはずれた子が高校に進むことは難しい。入学も難しければ、その後の移動も難しい。
しかし、国際的には18歳頃までの中等教育期間は無償・アクセス可能な教育機会を提供している国が大半である。
日本は接ぎ木的な政策（教育無償化、例外措置としての帰国生受入れなど）で変化に対応してきたが、主流からはずれた子供にもっと教育機会を提供してほしい。もっと簡単に地域の高校に行けるようにしてほしい。",,,,,,,,,,,,,
807,兵庫県,,30〜39歳,女性,0,0,0,0,0,0,0,,,"累進課税なのに所得制限で高額な費用負担をしないと保育サービスが受けられないこと。
課税後の手取り収入から保育料を引くと、生活の継続にやっと。
政府は、年金収入減により老後の貯蓄も国民に任せているのに、貯蓄に回す費用が捻出できない。",,,,,,,,,,,,,
808,岡山県,真庭市,20〜29歳,女性,0,0,0,0,0,0,0,,,地方にファミサポなど保育園以外に子供を預けられる制度がない。,,,,,,,,,,,,,
809,福岡県,那珂川市,30〜39歳,女性,0,0,0,0,0,0,0,,,"自分が妊娠して初めて分かったことですが、妊娠中は初期のつわりの時期だけでなく、それ以降も体がとてもつらいです。周りに気を使いながら仕事をし、肉体的にも精神的にもすり減りました。これだけ働く女性が増えているのですから、妊娠が発覚したらすぐに休めるようにしてほしいです。

高校、大学と教育費が高すぎます。経済的不安さえなければ4人でも5人でも子供が欲しいです。高すぎる教育費をどうにかしてください。",,,,,,,,,,,,,
810,神奈川県,相模原市,30〜39歳,女性,0,0,0,0,0,0,0,,,さまざまなものの所得制限,少子化対策で子育てに関する給付や制度などでの所得制限が撤廃されたり、子供3人以上産めば一生所得税免除、年金の支払い免除の上、加算されるとかなら、余裕でもう1人産む。ただ、そういうのは日本人限定にして欲しい（日本国内で外国人増やしても少子高齢化対策として意味がないから）,,,,,,,,,,,,
811,千葉県,市原市,40〜49歳,女性,3,0,0,1,1,1,0,,小学生 中学生 高校生 ,児童手当の所得制限(全ての子供は平等に)、特定世帯の給食費無償などの給付、日本学生支援機構の奨学金の審査基準(学生が自分で借りて自分で返すものなのでは？たとえば収入のある親が進学に反対の場合はキツくなる)、幼保高校無償化(これらの施設に通っている通っていないにかかわらず、児童手当のような給付がよい)、1〜3月生まれは扶養控除で損をする仕組み、,,,,,,,,,,,,,
812,神奈川県,川崎市,30〜39歳,女性,1,0,0,1,0,0,0,,小学生 ,"小学校の学童で、長期休みなど、給食がないと、お弁当を作らなくてはならない。
夏など、食中毒も心配だし、毎日の弁当作りは負担。
幼稚園、保育園では当たり前の給食…小1の壁の1つだと思う",,,,,,,,,,,,,
813,東京都,江東区,30〜39歳,女性,0,0,0,0,0,0,0,,,"とにかくお金がかかる。その資金を稼ぐために働くと高所得世帯と言われてさまざまな補助が切られ、認可保育園の保育料は高い上に入りづらい。
働いたら働いたで職場では肩身狭い上に時短をすれば昇給などは一切なし。時短も3歳までのため、どれだけ手のかかる子でもあるそれ以降はフルで働くか手取りがだいぶ下がるがパートなどの選択を強いられる。小学校に上がる際も同じく学童に入れるのかにもよるし、働き方を変えざるを得ないです。
子供の未来のために働きたいのに働きづらい社会だなと感じます。
政府の方針として不妊治療助成など拡充するのはとてもいいことだと思う反面、産んだら終わりって感じます。
子育ては産んでからがスタートで逃げ場のない育児が一生涯続くので、支援と言うならばその子自身への支援と考えてほしいです。
自営業と会社員だと同じ年収でも生活全然違いますし…
そこの確認ができないのであれば、一律支援でいいのではないでしょうか…？
また、核家族化が進む中、孤育てと感じている方も多くいると思いますのでせめて子育て世帯間で分断が起きないと嬉しいです。",,,,,,,,,,,,,
814,青森県,,30〜39歳,女性,1,0,0,1,0,0,0,,小学生 ,児童手当の金額が1人あたり少なすぎるし。1人育てるのに4ヶ月に1度というのも期間が長すぎて生活が続かない、なぜ児童扶養手当は4ヶ月おきから2ヶ月おきになったのに、児童手当はそのままなのか？1人あたり3歳まで1.5万円、3歳以降18歳未満は1万円なんてその少ない金額を貰うよりも払う税金等の方が多すぎる。,将来を担う子供を、国の名に恥じないように育てたいと思うならもっと考えなさい。,,,,,,,,,,,,
815,福島県,いわき,20〜29歳,女性,0,0,0,0,0,0,0,,,社会福祉費のほとんどを年金に使い、子育てに使ってる割合が少なすぎる。もっと子育て支援に社会福祉費をあてて少子化対策をすべき。年金の割合を減らすべき。,出産費用が高すぎる。無償にすべき。年寄りに使う税金をもっともっと削減して子育てに使うべき。,,,,,,,,,,,,
816,神奈川県,相模原市,30〜39歳,女性,0,0,0,0,0,0,0,,,"出産費用が保険適応に無いことが可笑しい。出産一時金を除いても、夜間で帝王切開をしたため自費で50万円以上かかった。
ほとんどの子育て支援に所得制限がかかっていることも可笑しい。子供を産む前は子供は2.3人欲しかったが、産んでから子育て支援政策のほとんど所得制限がかかっていることに驚き、夫の奨学金返済もあるため、子供は1人だけにしようか悩んでいる。少子化は私が小学生の頃から言われていた問題なのに、改善する気があるのだろうか。",,,,,,,,,,,,,
817,北海道,,40〜49歳,女性,1,0,0,1,0,0,0,,小学生 ,"児童手当：中高生年齢で一番お金がかかっていくのに支給が終わるのがもやもやします。また、３歳まで1万５千円の金額も３歳になった最初の三月までだと生まれ月によって金額に差がありすぎ。36か月間は1万５千円など公平性をつけてほしいと感じます。支給が終了する中３年齢も同じではないでしょうか。
教育：なぜ、国は教育にお金をかけないのでしょうか。実際に進学の際、学費がネックとなり進路変更を余儀なくされる若者が多くいま。。教育の役割・学ぶことによって得られる将来の可能性についての意識変化をもっと国民に伝える努力をしたうえで、私たちが実感できる形を実行してほしいと願います。",,,,,,,,,,,,,
818,千葉県,,30〜39歳,女性,0,0,0,0,0,0,0,,,お金がなく、子どもの児童手当を一旦借りて生活している。本当は子どもは３人欲しいが、金銭面、働きながら子供を産む、育てることの大変さを強く感じている。また、最近子どもが入院したが、働きながら入院の付き添いをするということは、仕事を無くす恐れがあると強く感じた。具合が悪く休ませたい時も、親の方がなかなか休みづらくとてもストレスを感じる。,,,,,,,,,,,,,
819,東京都,東京都大田区,30〜39歳,女性,1,0,0,1,0,0,0,,小学生 ,"・共働きじゃないと生活が成り立たない人がたくさんいるのに、子供を預ける環境が圧倒的に足りていない。小学校に上がっても学童が激戦区だったり保育園より空いている時間が短かったりと仕事と両立するには子供に負担がかかる。
・自分自身は、子供を塾に行かせるつもりはなかったが、周りの話を聞くと塾に行かない選択肢がないという状態になっている。場合によっては学校から塾に行ってほしいといわれることもあると聞くので、そもそも学校の教育で足りないのはおかしいと思う。
・コロナ対策であまりにも子供にしわ寄せがいっていると感じる。日本の学校体制では本来義務じゃないのにおかしいのでは？など子供が言えるような環境でもないので、もっと子供の視点に立ってほしい。地域によっては学童で私語厳禁と聞いて、これでは子供が人間関係を気づけず、詰まらない幼少期を過ごしてしまい後々が心配。",,,,,,,,,,,,,
820,神奈川県,横浜,40〜49歳,その他,1,0,0,1,0,0,0,,小学生 ,女性の社会進出を促しながら、長時間労働を強いるなどこの国はおかしい！！！！！,,,,,,,,,,,,,
821,長野県,佐久市,20〜29歳,女性,0,0,0,0,0,0,0,,,"自治体によって保育料が全然違うこと。引っ越ししたら16000円もあがってしまった。
また、夫は高校教諭で、未経験の部活の顧問になり、土日、平日のワンオペ時間が多い。
最後に、給与は上がらないのに物価がたかく、子どもにあげる果物が高い。",,,,,,,,,,,,,
